Player,Team,,,Season,,,,,,MP,,,,,,,,,,,,,,,,,,,,,,,,,,USG%,,,,,,,,,TS%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip T.,Trefl Sopot,ratiopharm Ulm,EuroCup,2024-2025,25/09/2024,1,REGULAR SEASON,H,L,41,14,0,3,0.00%,3,8,37.50%,3,11,27.30%,5,6,83.30%,1,6,7,6,5,0,2,3,6,17,-10,1900.00%,20.90%,0.737,105,114.6,-9.6,92.4,108.5,-1610.00%,40.90%,50.00%,0.00%,0.00%,10.50%,0.00%,5.30%,0.00%,15.80%,0.00%,26.30%,180.00%,15.80%,26.30%,15.80%,10.50%,18.20%,8.30%,14.30%,28.60%,31.60%,2.70%,6.70%,0.00%,0.00%,16.20%,5.60%,26.70%,33.30%,9.50%,0.00%,2.90%,4.90%,0.00%
Phillip T.,London Lions,Paris Basketball,EuroCup,2023-2024,29/03/2024,22,PLAY-OFF,H,L,15,9,1,1,100.00%,2,4,50.00%,3,5,60.00%,1,2,50.00%,0,4,4,3,3,0,1,3,2,10,-15,900.00%,25.00%,1,80.6,121.2,-40.6,109.3,117.4,-810.00%,80.00%,75.00%,0.00%,0.00%,11.10%,200.00%,0.00%,0.00%,11.10%,300.00%,33.30%,100.00%,11.10%,33.30%,22.20%,11.10%,37.50%,75.00%,0.00%,0.00%,18.80%,0.00%,0.00%,0.00%,0.00%,33.30%,50.00%,33.30%,0.00%,14.80%,0.00%,4.00%,0.00%,6.70%
Phillip T.,London Lions,Paris Basketball,EuroCup,2023-2024,26/03/2024,21,PLAY-OFF,A,L,24,11,2,3,66.70%,1,3,33.30%,3,6,50.00%,4,6,66.70%,0,0,0,8,3,2,0,3,5,15,-2,1200.00%,22.60%,0.917,104.1,108.2,-4.1,109.2,103.4,580.00%,58.30%,61.10%,8.30%,200.00%,16.70%,100.00%,0.00%,0.00%,0.00%,0.00%,25.00%,100.00%,25.00%,25.00%,8.30%,16.70%,42.10%,46.70%,0.00%,33.30%,38.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.10%,0.00%,0.00%,0.00%
Phillip T.,London Lions,Cluj-Napoca,EuroCup,2023-2024,13/03/2024,20,PLAY-OFF,A,W,22,6,0,3,0.00%,2,3,66.70%,2,6,33.30%,0,0,0.00%,0,1,1,2,0,1,0,2,3,7,3,600.00%,12.20%,1,111.4,102.2,9.2,116.1,101.1,1500.00%,50.00%,50.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,200.00%,0.00%,0.00%,0.00%,0.00%,10.00%,22.20%,0.00%,0.00%,13.30%,0.00%,0.00%,0.00%,0.00%,5.00%,0.00%,10.00%,0.00%,2.60%,2.20%,0.00%,0.00%,0.00%
Phillip T.,London Lions,Turk Ankara,EuroCup,2023-2024,06/03/2024,19,PLAY-OFF,H,W,20,5,2,4,50.00%,0,2,0.00%,2,6,33.30%,1,2,50.00%,1,2,3,5,2,3,0,2,2,9,11,900.00%,22.00%,0.556,148.6,105.1,43.5,104.3,89.3,1500.00%,33.30%,35.70%,11.10%,200.00%,33.30%,67.00%,0.00%,0.00%,0.00%,0.00%,22.20%,0.00%,11.10%,22.20%,22.20%,0.00%,25.00%,27.30%,25.00%,16.70%,27.80%,9.10%,20.00%,0.00%,0.00%,10.50%,16.70%,0.00%,0.00%,10.00%,7.70%,0.00%,0.00%,0.00%
Phillip T.,London Lions,Wolves Vilnius,EuroCup,2023-2024,07/02/2024,18,REGULAR SEASON,H,L,13,4,1,2,50.00%,0,2,0.00%,1,4,25.00%,2,2,100.00%,0,2,2,3,4,2,0,0,1,4,-12,900.00%,31.00%,0.444,82.1,125,-42.9,67.4,93,-2560.00%,25.00%,40.00%,0.00%,0.00%,22.20%,100.00%,0.00%,0.00%,0.00%,0.00%,22.20%,0.00%,11.10%,44.40%,33.30%,11.10%,42.90%,37.50%,0.00%,0.00%,18.80%,0.00%,0.00%,0.00%,0.00%,11.80%,10.00%,20.00%,0.00%,7.40%,7.10%,0.00%,0.00%,0.00%
Phillip T.,London Lions,KK Cedevita Junior,EuroCup,2023-2024,31/01/2024,17,REGULAR SEASON,A,W,24,4,2,9,22.20%,0,2,0.00%,2,11,18.20%,0,0,0.00%,0,3,3,4,5,2,0,3,4,-3,-15,1600.00%,29.60%,0.25,88.9,119.6,-30.7,53,104.6,-5160.00%,18.20%,18.20%,31.30%,40.00%,18.80%,67.00%,6.30%,0.00%,0.00%,0.00%,12.50%,0.00%,0.00%,31.30%,12.50%,18.80%,26.70%,20.00%,40.00%,0.00%,23.50%,0.00%,0.00%,0.00%,0.00%,14.30%,28.60%,7.70%,0.00%,6.40%,4.30%,0.00%,0.00%,0.00%
Phillip T.,London Lions,Besiktas JK,EuroCup,2023-2024,24/01/2024,16,REGULAR SEASON,H,W,24,10,3,4,75.00%,1,2,50.00%,4,6,66.70%,1,3,33.30%,1,3,4,3,2,0,0,4,6,12,-1,900.00%,18.40%,1.111,104.4,106.7,-2.3,122.3,97.1,2520.00%,75.00%,71.40%,0.00%,0.00%,44.40%,150.00%,0.00%,0.00%,0.00%,0.00%,22.20%,150.00%,11.10%,22.20%,11.10%,11.10%,14.60%,0.00%,100.00%,30.80%,18.80%,5.90%,12.50%,0.00%,0.00%,10.70%,11.80%,0.00%,100.00%,8.90%,0.00%,0.00%,0.00%,0.00%
Phillip T.,London Lions,Badalona,EuroCup,2023-2024,17/01/2024,15,REGULAR SEASON,H,L,32,9,2,6,33.30%,0,3,0.00%,2,9,22.20%,5,6,83.30%,0,2,2,2,2,3,0,0,8,14,-13,1400.00%,21.50%,0.643,98.3,116.1,-17.8,82,108.1,-2610.00%,22.20%,37.50%,7.10%,200.00%,35.70%,40.00%,0.00%,0.00%,0.00%,0.00%,21.40%,0.00%,21.40%,14.30%,14.30%,0.00%,9.50%,6.70%,25.00%,0.00%,13.30%,0.00%,0.00%,0.00%,0.00%,9.50%,12.50%,7.70%,0.00%,4.30%,4.80%,0.00%,0.00%,0.00%
Phillip T.,London Lions,Hapoel Tel Aviv,EuroCup,2023-2024,09/01/2024,14,REGULAR SEASON,A,W,28,9,2,6,33.30%,1,3,33.30%,3,9,33.30%,2,2,100.00%,1,5,6,7,1,1,0,3,4,16,9,1100.00%,18.00%,0.818,135.2,118.5,16.7,133.6,109,2460.00%,38.90%,45.00%,0.00%,0.00%,45.50%,40.00%,9.10%,200.00%,0.00%,0.00%,27.30%,100.00%,9.10%,9.10%,9.10%,0.00%,25.00%,33.30%,10.00%,33.30%,35.00%,5.60%,0.00%,11.10%,0.00%,21.70%,25.00%,14.30%,0.00%,14.60%,1.90%,0.00%,0.00%,0.00%
